task_id,repository_folder,gold_use_case_name,pred_use_case_name,name_token_f1,category
usecase_v1_0000,jobic10__student-management-using-django,Manage staff,Manage staff,1.0,Exact match
usecase_v1_0001,jobic10__student-management-using-django,Manage students,Manage students,1.0,Exact match
usecase_v1_0002,jobic10__student-management-using-django,Manage courses,Manage courses,1.0,Exact match
usecase_v1_0003,jobic10__student-management-using-django,Manage subjects,Manage subjects,1.0,Exact match
usecase_v1_0004,jobic10__student-management-using-django,Manage academic sessions,Manage sessions,0.8,Near match / phrasing
usecase_v1_0005,jobic10__student-management-using-django,Take student attendance,Take Attendance,0.8,Near match / phrasing
usecase_v1_0006,jobic10__student-management-using-django,Update student attendance,Update Attendance,0.8,Near match / phrasing
usecase_v1_0007,jobic10__student-management-using-django,Add or update student result,Manage Student Results,0.25,Too broad
usecase_v1_0008,jobic10__student-management-using-django,Apply for leave,Apply for leave,1.0,Exact match
usecase_v1_0009,jobic10__student-management-using-django,View attendance,View Attendance,1.0,Exact match
usecase_v1_0010,jobic10__student-management-using-django,View result,View Result,1.0,Exact match
usecase_v1_0011,jobic10__student-management-using-django,Review leave applications,View student leave detail,0.2857,Semantic drift
usecase_v1_0012,jobic10__student-management-using-django,Reply to feedback,View Feedback Detail,0.3333,Semantic drift
usecase_v1_0013,thakurpdhiraj__library_management_system,Add book and create inventory,Create Book,0.5714,Semantic drift
usecase_v1_0014,thakurpdhiraj__library_management_system,Search and update books,Manage books,0.3333,Too broad
usecase_v1_0015,thakurpdhiraj__library_management_system,Delete book or inventory,Delete book,0.6667,Near match / phrasing
usecase_v1_0016,thakurpdhiraj__library_management_system,Manage users,Manage users,1.0,Exact match
usecase_v1_0017,thakurpdhiraj__library_management_system,Order available book,Place a new book order,0.5,Semantic drift
usecase_v1_0018,thakurpdhiraj__library_management_system,View current orders,View My Orders,0.6667,Semantic drift
usecase_v1_0019,thakurpdhiraj__library_management_system,View order history,View order history,1.0,Exact match
usecase_v1_0020,thakurpdhiraj__library_management_system,Filter overdue orders,View overdue orders,0.6667,Semantic drift
usecase_v1_0021,thakurpdhiraj__library_management_system,Search orders,Search orders by type,0.6667,Near match / phrasing
usecase_v1_0022,thakurpdhiraj__library_management_system,Mark order as collected,Mark order as collected,1.0,Exact match
usecase_v1_0023,thakurpdhiraj__library_management_system,Mark order as returned and generate invoice,Mark order as returned,0.7273,Near match / phrasing
usecase_v1_0024,thakurpdhiraj__library_management_system,Authenticate and access role-based views,Login,0.0,Semantic drift
usecase_v1_0025,abdulwahid880__School-Management-system-in-laravel-,Manage schools,Manage schools,1.0,Exact match
usecase_v1_0026,abdulwahid880__School-Management-system-in-laravel-,Register school users,Register User,0.4,Semantic drift
usecase_v1_0027,abdulwahid880__School-Management-system-in-laravel-,Manage classes and sections,Create school class,0.0,Too narrow
usecase_v1_0028,abdulwahid880__School-Management-system-in-laravel-,Take attendance,Take Attendance,1.0,Exact match
usecase_v1_0029,abdulwahid880__School-Management-system-in-laravel-,Adjust attendance,Adjust Attendance,1.0,Exact match
usecase_v1_0030,abdulwahid880__School-Management-system-in-laravel-,Calculate and save grades,View grades detail,0.2857,Semantic drift
usecase_v1_0031,abdulwahid880__School-Management-system-in-laravel-,View grades,View grades detail,0.8,Near match / phrasing
usecase_v1_0032,abdulwahid880__School-Management-system-in-laravel-,Manage fees,Create/Add/Register/Save fee,0.0,Too narrow
usecase_v1_0033,abdulwahid880__School-Management-system-in-laravel-,Manage income and expenses,Manage account sectors and accounts,0.4444,Semantic drift
usecase_v1_0034,abdulwahid880__School-Management-system-in-laravel-,Manage exams,Manage exams,1.0,Exact match
usecase_v1_0035,abdulwahid880__School-Management-system-in-laravel-,Manage academic content,Manage Academic Settings,0.6667,Semantic drift
usecase_v1_0036,abdulwahid880__School-Management-system-in-laravel-,Manage library books,Manage books,0.8,Near match / phrasing
usecase_v1_0037,abdulwahid880__School-Management-system-in-laravel-,Issue and return books,Manage issued books,0.2857,Too broad
usecase_v1_0038,abdulwahid880__School-Management-system-in-laravel-,Import and export users,Export students to Excel,0.25,Semantic drift
usecase_v1_0039,4jean__lav_sms,Manage student records,Manage Students,0.4,Semantic drift
usecase_v1_0040,4jean__lav_sms,Promote students,Promote students,1.0,Exact match
usecase_v1_0041,4jean__lav_sms,Manage timetable,Manage Time Tables,0.4,Semantic drift
usecase_v1_0042,4jean__lav_sms,Manage payments,Manage Payments,1.0,Exact match
usecase_v1_0043,4jean__lav_sms,Manage marks,Manage Marks,1.0,Exact match
usecase_v1_0044,4jean__lav_sms,View and print marksheet,Select Exam Year,0.0,Semantic drift
usecase_v1_0045,4jean__lav_sms,Generate tabulation sheet,Generate Mark Tabulation Report,0.5714,Semantic drift
