task_id,repository_folder,model,run_name,prompt_version,exact_name_match,substring_name_match,name_token_f1,description_token_f1,parse_error,runtime_error,pred_use_case_name,gold_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.3158,,,Manage staff,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.2857,,,Manage students,Manage students
usecase_v1_0002,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.25,,,Manage courses,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.2857,,,Manage subjects,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.8,0.1667,,,Manage sessions,Manage academic sessions
usecase_v1_0005,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.8,0.75,,,Take Attendance,Take student attendance
usecase_v1_0006,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.8,0.5833,,,Update Attendance,Update student attendance
usecase_v1_0007,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.25,0.1053,,,Manage Student Results,Add or update student result
usecase_v1_0008,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.3636,,,Apply for leave,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.6087,,,View Attendance,View attendance
usecase_v1_0010,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.2353,,,View Result,View result
usecase_v1_0011,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.2857,0.2609,,,View student leave detail,Review leave applications
usecase_v1_0012,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.3333,0.4545,,,View Feedback Detail,Reply to feedback
usecase_v1_0013,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.5714,0.3243,,,Create Book,Add book and create inventory
usecase_v1_0014,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.3333,0.2,,,Manage books,Search and update books
usecase_v1_0015,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,1,0.6667,0.4286,,,Delete book,Delete book or inventory
usecase_v1_0016,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.3333,,,Manage users,Manage users
usecase_v1_0017,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.5,0.2353,,,Place a new book order,Order available book
usecase_v1_0018,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.6667,0.2424,,,View My Orders,View current orders
usecase_v1_0019,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.2105,,,View order history,View order history
usecase_v1_0020,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.6667,0.381,,,View overdue orders,Filter overdue orders
usecase_v1_0021,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,1,0.6667,0.6923,,,Search orders by type,Search orders
usecase_v1_0022,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.48,,,Mark order as collected,Mark order as collected
usecase_v1_0023,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,1,0.7273,0.303,,,Mark order as returned,Mark order as returned and generate invoice
usecase_v1_0024,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.0,0.25,,,Login,Authenticate and access role-based views
usecase_v1_0025,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.3158,,,Manage schools,Manage schools
usecase_v1_0026,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.4,0.2727,,,Register User,Register school users
usecase_v1_0027,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.0,0.1905,,,Create school class,Manage classes and sections
usecase_v1_0028,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.6957,,,Take Attendance,Take attendance
usecase_v1_0029,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.3529,,,Adjust Attendance,Adjust attendance
usecase_v1_0030,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.2857,0.4286,,,View grades detail,Calculate and save grades
usecase_v1_0031,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,1,0.8,0.25,,,View grades detail,View grades
usecase_v1_0032,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.0,0.3333,,,Create/Add/Register/Save fee,Manage fees
usecase_v1_0033,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.4444,0.3636,,,Manage account sectors and accounts,Manage income and expenses
usecase_v1_0034,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.3333,,,Manage exams,Manage exams
usecase_v1_0035,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.6667,0.4545,,,Manage Academic Settings,Manage academic content
usecase_v1_0036,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.8,0.1905,,,Manage books,Manage library books
usecase_v1_0037,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.2857,0.48,,,Manage issued books,Issue and return books
usecase_v1_0038,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.25,0.2105,,,Export students to Excel,Import and export users
usecase_v1_0039,4jean__lav_sms,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.4,0.4167,,,Manage Students,Manage student records
usecase_v1_0040,4jean__lav_sms,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.5294,,,Promote students,Promote students
usecase_v1_0041,4jean__lav_sms,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.4,0.5185,,,Manage Time Tables,Manage timetable
usecase_v1_0042,4jean__lav_sms,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.6957,,,Manage Payments,Manage payments
usecase_v1_0043,4jean__lav_sms,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.6667,,,Manage Marks,Manage marks
usecase_v1_0044,4jean__lav_sms,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.0,0.32,,,Select Exam Year,View and print marksheet
usecase_v1_0045,4jean__lav_sms,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.5714,0.5926,,,Generate Mark Tabulation Report,Generate tabulation sheet
usecase_v1_0046,4jean__lav_sms,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.2,0.5625,,,"Manage classes, sections, subjects, grades, and exams",Manage academic structure
usecase_v1_0047,4jean__lav_sms,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.8,0.3333,,,View my children,View children
usecase_v1_0048,4jean__lav_sms,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.3333,0.3,,,Manage account profile,Update own account
usecase_v1_0049,4jean__lav_sms,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.3333,0.4138,,,Manage Pins,Generate and verify pins
usecase_v1_0050,openfun__marsha,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,1,0.8,0.4167,,,Create Video,Create video resource
usecase_v1_0051,openfun__marsha,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,1,1,1.0,0.4167,,,Initiate video upload,Initiate video upload
usecase_v1_0052,openfun__marsha,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.5,0.2963,,,Mark video upload as ended,Complete video upload
usecase_v1_0053,openfun__marsha,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.5714,0.2963,,,View video detail,View video in LMS
usecase_v1_0054,openfun__marsha,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.5714,0.5,,,Upload video subtitles,Upload subtitles or transcripts
usecase_v1_0055,openfun__marsha,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.6667,0.6316,,,Create Video Thumbnail,Upload video thumbnail
usecase_v1_0056,openfun__marsha,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,1,0.8,0.4762,,,Create document,Create document resource
usecase_v1_0057,openfun__marsha,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,0,0.5,0.3226,,,Initiate and Complete Document Upload,Upload document file
usecase_v1_0058,openfun__marsha,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,1,0.5,0.2857,,,Manage playlists,Manage playlist
usecase_v1_0059,openfun__marsha,qwen2.5-coder:14b,user_goal_v4_probe,user_goal_v4,0,1,0.6667,0.1739,,,Manage playlist accesses,Manage playlist access
