task_id,repository_folder,model,run_name,prompt_version,exact_name_match,substring_name_match,name_token_f1,description_token_f1,parse_error,runtime_error,pred_use_case_name,gold_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.25,,,Manage staff,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.0,,,Manage staff,Manage students
usecase_v1_0002,jobic10__student-management-using-django,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.1053,,,Manage staff,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.125,,,Manage staff,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.0909,,,Manage staff,Manage academic sessions
usecase_v1_0005,jobic10__student-management-using-django,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.4762,,,Take Attendance,Take student attendance
usecase_v1_0006,jobic10__student-management-using-django,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.4211,,,Take Attendance,Update student attendance
usecase_v1_0007,jobic10__student-management-using-django,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1667,,,Manage Staff,Add or update student result
usecase_v1_0008,jobic10__student-management-using-django,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.6667,0.2727,,,Staff Apply Leave,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.5556,,,View Attendance,View attendance
usecase_v1_0010,jobic10__student-management-using-django,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.6667,,,View Student Result,View result
usecase_v1_0011,jobic10__student-management-using-django,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2857,0.2857,,,View student leave detail,Review leave applications
usecase_v1_0012,jobic10__student-management-using-django,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2857,0.2,,,View student feedback detail,Reply to feedback
usecase_v1_0013,thakurpdhiraj__library_management_system,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5714,0.2609,,,Create book,Add book and create inventory
usecase_v1_0014,thakurpdhiraj__library_management_system,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1176,,,View Book Detail,Search and update books
usecase_v1_0015,thakurpdhiraj__library_management_system,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5714,0.3478,,,Delete a book,Delete book or inventory
usecase_v1_0016,thakurpdhiraj__library_management_system,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.2105,,,Create user,Manage users
usecase_v1_0017,thakurpdhiraj__library_management_system,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.6667,0.2222,,,Create book order,Order available book
usecase_v1_0018,thakurpdhiraj__library_management_system,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.6667,0.4706,,,View orders detail,View current orders
usecase_v1_0019,thakurpdhiraj__library_management_system,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,1,0.8571,0.2857,,,View order history detail,View order history
usecase_v1_0020,thakurpdhiraj__library_management_system,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.6667,0.3333,,,View overdue orders,Filter overdue orders
usecase_v1_0021,thakurpdhiraj__library_management_system,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,,,View book detail,Search orders
usecase_v1_0022,thakurpdhiraj__library_management_system,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.4,,,Mark Order as Collected,Mark order as collected
usecase_v1_0023,thakurpdhiraj__library_management_system,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1053,,,Return book,Mark order as returned and generate invoice
usecase_v1_0024,thakurpdhiraj__library_management_system,llama3.2:3b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.2,,,Create user account,Authenticate and access role-based views
