task_id,repository_folder,model,run_name,prompt_version,exact_name_match,substring_name_match,name_token_f1,description_token_f1,parse_error,runtime_error,pred_use_case_name,gold_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.1,,,Add Staff,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0909,,,Add Student,Manage students
usecase_v1_0002,jobic10__student-management-using-django,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1176,,,Add Course,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0741,,,Add Subject,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.069,,,Create/Add Session,Manage academic sessions
usecase_v1_0005,jobic10__student-management-using-django,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.4118,,,Take Attendance,Take student attendance
usecase_v1_0006,jobic10__student-management-using-django,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.3846,,,Update Attendance,Update student attendance
usecase_v1_0007,jobic10__student-management-using-django,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.25,,,Create/Add Result,Add or update student result
usecase_v1_0008,jobic10__student-management-using-django,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8571,0.3636,,,Apply for Staff Leave,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.32,,,View Attendance,View attendance
usecase_v1_0010,jobic10__student-management-using-django,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.0,,,View Student Result,View result
usecase_v1_0011,jobic10__student-management-using-django,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.125,,,Create/Add Student,Review leave applications
usecase_v1_0012,jobic10__student-management-using-django,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.2609,,,Manage Staff,Reply to feedback
usecase_v1_0013,thakurpdhiraj__library_management_system,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5714,0.2353,,,Create Book,Add book and create inventory
usecase_v1_0014,thakurpdhiraj__library_management_system,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.3333,0.0,,,Manage Books,Search and update books
usecase_v1_0015,thakurpdhiraj__library_management_system,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,1,0.6667,0.087,,,Delete Book,Delete book or inventory
usecase_v1_0016,thakurpdhiraj__library_management_system,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1,,,Create/Add/Register/Save User,Manage users
usecase_v1_0017,thakurpdhiraj__library_management_system,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.1875,,,Create Order,Order available book
usecase_v1_0018,thakurpdhiraj__library_management_system,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.3158,,,Manage Orders,View current orders
usecase_v1_0019,thakurpdhiraj__library_management_system,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8571,0.2963,,,View My Order History,View order history
usecase_v1_0020,thakurpdhiraj__library_management_system,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.3333,,,Manage Orders,Filter overdue orders
usecase_v1_0021,thakurpdhiraj__library_management_system,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.1905,,,Manage Orders,Search orders
usecase_v1_0022,thakurpdhiraj__library_management_system,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.16,,,Manage Orders,Mark order as collected
usecase_v1_0023,thakurpdhiraj__library_management_system,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0667,,,Manage Orders,Mark order as returned and generate invoice
usecase_v1_0024,thakurpdhiraj__library_management_system,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.3077,,,Login,Authenticate and access role-based views
usecase_v1_0025,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.2,,,Create School,Manage schools
usecase_v1_0026,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.2069,,,Create Student,Register school users
usecase_v1_0027,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0,,,Create/Add/Register/Save Class,Manage classes and sections
usecase_v1_0028,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.2727,,,View Attendance Detail,Take attendance
usecase_v1_0029,abdulwahid880__School-Management-system-in-laravel-,qwen2.5-coder:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.3,,,View Attendance Detail,Adjust attendance
