task_id,repository_folder,soft_name_match,soft_name_token_f1,pred_use_case_name,gold_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,0,0.5,Add Staff,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,0,0.5,Add Student,Manage students
usecase_v1_0002,jobic10__student-management-using-django,0,0.0,Add Course,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,0,0.5,Add Subject,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,0,0.3333,Create/Add Session,Manage academic sessions
usecase_v1_0005,jobic10__student-management-using-django,1,0.8,Take Attendance,Take student attendance
usecase_v1_0006,jobic10__student-management-using-django,1,0.8,Update Attendance,Update student attendance
usecase_v1_0007,jobic10__student-management-using-django,1,0.5714,Create/Add Result,Add or update student result
usecase_v1_0008,jobic10__student-management-using-django,1,0.8,Apply for Staff Leave,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,1,1.0,View Attendance,View attendance
usecase_v1_0010,jobic10__student-management-using-django,1,0.8,View Student Result,View result
usecase_v1_0011,jobic10__student-management-using-django,0,0.0,Create/Add Student,Review leave applications
usecase_v1_0012,jobic10__student-management-using-django,0,0.0,Manage Staff,Reply to feedback
usecase_v1_0013,thakurpdhiraj__library_management_system,1,0.6667,Create Book,Add book and create inventory
usecase_v1_0014,thakurpdhiraj__library_management_system,0,0.4,Manage Books,Search and update books
usecase_v1_0015,thakurpdhiraj__library_management_system,1,0.8,Delete Book,Delete book or inventory
usecase_v1_0016,thakurpdhiraj__library_management_system,0,0.2857,Create/Add/Register/Save User,Manage users
usecase_v1_0017,thakurpdhiraj__library_management_system,0,0.4,Create Order,Order available book
usecase_v1_0018,thakurpdhiraj__library_management_system,0,0.4,Manage Orders,View current orders
usecase_v1_0019,thakurpdhiraj__library_management_system,1,1.0,View My Order History,View order history
usecase_v1_0020,thakurpdhiraj__library_management_system,0,0.4,Manage Orders,Filter overdue orders
usecase_v1_0021,thakurpdhiraj__library_management_system,0,0.5,Manage Orders,Search orders
usecase_v1_0022,thakurpdhiraj__library_management_system,0,0.4,Manage Orders,Mark order as collected
usecase_v1_0023,thakurpdhiraj__library_management_system,0,0.2857,Manage Orders,Mark order as returned and generate invoice
usecase_v1_0024,thakurpdhiraj__library_management_system,0,0.3333,Login,Authenticate and access role-based views
usecase_v1_0025,abdulwahid880__School-Management-system-in-laravel-,0,0.5,Create School,Manage schools
usecase_v1_0026,abdulwahid880__School-Management-system-in-laravel-,0,0.0,Create Student,Register school users
usecase_v1_0027,abdulwahid880__School-Management-system-in-laravel-,0,0.25,Create/Add/Register/Save Class,Manage classes and sections
usecase_v1_0028,abdulwahid880__School-Management-system-in-laravel-,0,0.4,View Attendance Detail,Take attendance
usecase_v1_0029,abdulwahid880__School-Management-system-in-laravel-,0,0.4,View Attendance Detail,Adjust attendance
usecase_v1_0030,abdulwahid880__School-Management-system-in-laravel-,0,0.0,Create Grade,Calculate and save grades
usecase_v1_0031,abdulwahid880__School-Management-system-in-laravel-,1,0.8,View Student Grades,View grades
usecase_v1_0032,abdulwahid880__School-Management-system-in-laravel-,0,0.5,Create Fee,Manage fees
usecase_v1_0033,abdulwahid880__School-Management-system-in-laravel-,0,0.0,Create Account Sector,Manage income and expenses
usecase_v1_0034,abdulwahid880__School-Management-system-in-laravel-,0,0.2857,Create/Add/Register/Save Exam,Manage exams
usecase_v1_0035,abdulwahid880__School-Management-system-in-laravel-,0,0.4,Manage Syllabus,Manage academic content
usecase_v1_0036,abdulwahid880__School-Management-system-in-laravel-,0,0.25,Create/Add/Register/Save Book,Manage library books
usecase_v1_0037,abdulwahid880__School-Management-system-in-laravel-,1,0.8,Issue Book,Issue and return books
usecase_v1_0038,abdulwahid880__School-Management-system-in-laravel-,0,0.3333,Upload User Data,Import and export users
usecase_v1_0039,4jean__lav_sms,1,0.6667,Create Student Record,Manage student records
usecase_v1_0040,4jean__lav_sms,1,0.8,Manage Student Promotions,Promote students
usecase_v1_0041,4jean__lav_sms,0,0.5,Manage Timetables,Manage timetable
usecase_v1_0042,4jean__lav_sms,1,1.0,Manage Payments,Manage payments
usecase_v1_0043,4jean__lav_sms,0,0.5,Mark Management,Manage marks
usecase_v1_0044,4jean__lav_sms,1,0.6667,View Mark Detail,View and print marksheet
usecase_v1_0045,4jean__lav_sms,0,0.3333,View Mark Tabulation,Generate tabulation sheet
usecase_v1_0046,4jean__lav_sms,0,0.4,Manage Students,Manage academic structure
usecase_v1_0047,4jean__lav_sms,0,0.4,View Child List,View children
usecase_v1_0048,4jean__lav_sms,0,0.4,Update Profile,Update own account
usecase_v1_0049,4jean__lav_sms,0,0.4,Manage Pins,Generate and verify pins
usecase_v1_0050,openfun__marsha,1,0.8,Create Video,Create video resource
usecase_v1_0051,openfun__marsha,1,1.0,Initiate Video Upload,Initiate video upload
usecase_v1_0052,openfun__marsha,1,0.8,Upload Video,Complete video upload
usecase_v1_0053,openfun__marsha,1,0.5714,View Video Detail,View video in LMS
usecase_v1_0054,openfun__marsha,0,0.2857,Upload Timed Text Track,Upload subtitles or transcripts
usecase_v1_0055,openfun__marsha,1,0.6667,Create Video Thumbnail,Upload video thumbnail
usecase_v1_0056,openfun__marsha,0,0.4,Upload Document,Create document resource
usecase_v1_0057,openfun__marsha,1,0.8,Document Upload,Upload document file
usecase_v1_0058,openfun__marsha,0,0.5,Create Playlist,Manage playlist
usecase_v1_0059,openfun__marsha,1,1.0,Manage Playlist Access,Manage playlist access
usecase_v1_0060,openfun__marsha,1,0.8,Start a Live,Start live session
usecase_v1_0061,openfun__marsha,0,0.0,Manage video recording,Stop and harvest live session
usecase_v1_0062,openfun__marsha,0,0.2222,Create/Add/Register/Save Video,Send video analytics statement
usecase_v1_0063,openfun__marsha,1,1.0,Create Classroom,Create classroom
usecase_v1_0064,openfun__marsha,1,0.6667,Create Classroom Document,Upload classroom document
usecase_v1_0065,mwinamijr__django-scms,0,0.0,Create/Add/Register/Save Teacher,Authenticate and view profile
usecase_v1_0066,mwinamijr__django-scms,0,0.4,Upload Teachers,Manage teacher accounts
usecase_v1_0067,mwinamijr__django-scms,0,0.0,Create/Add Teacher,Manage accountant accounts
usecase_v1_0068,mwinamijr__django-scms,0,0.0,Create/Add/Register/Save Teacher,Manage parent accounts
usecase_v1_0069,mwinamijr__django-scms,0,0.3333,Create/Add Student,Manage student records
usecase_v1_0070,mwinamijr__django-scms,1,1.0,Bulk Upload Students,Bulk upload students
