task_id,repository_folder,model,run_name,prompt_version,exact_name_match,substring_name_match,name_token_f1,description_token_f1,parse_error,runtime_error,pred_use_case_name,gold_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,1,1,1.0,0.3333,,,Manage Staff,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,0,0.5,0.1905,,,Manage Staff,Manage students
usecase_v1_0002,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,0,0.5,0.2609,,,Manage Staff,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,0,0.5,0.3,,,Manage Staff,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,0,0.4,0.1667,,,Manage Staff,Manage academic sessions
usecase_v1_0005,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,0,0.8,0.6207,,,Take Attendance,Take student attendance
usecase_v1_0006,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,0,0.4,0.3478,,,Take Attendance,Update student attendance
usecase_v1_0007,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,0,0.0,0.2222,,,Take Attendance,Add or update student result
usecase_v1_0008,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,0,0.0,0.2857,,,Take Attendance,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,1,1,1.0,0.6087,,,View Attendance,View attendance
usecase_v1_0010,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,1,0.5,0.4,,,View Results,View result
usecase_v1_0011,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,0,0.0,0.2857,,,Manage Staff,Review leave applications
usecase_v1_0012,jobic10__student-management-using-django,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,0,0.0,0.3,,,Manage Staff,Reply to feedback
usecase_v1_0013,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,1,0.5714,0.4348,,,Add Book,Add book and create inventory
usecase_v1_0014,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,0,0.3333,0.1905,,,Manage Books,Search and update books
usecase_v1_0015,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,1,0.6667,0.4286,,,Delete Book,Delete book or inventory
usecase_v1_0016,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,1,1,1.0,0.2,,,Manage Users,Manage users
usecase_v1_0017,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,0,0.3333,0.2424,,,Place New Order,Order available book
usecase_v1_0018,thakurpdhiraj__library_management_system,qwen2.5-coder:14b,user_goal_v4_no_api_probe,user_goal_v4_no_api,0,0,0.6667,0.1702,,,View My Orders,View current orders
