task_id,repository_folder,framework,domain,code_path_count,api_path_count,test_path_count,code_path_bin,api_path_bin,has_test_evidence,confidence_bin,confidence,exact_name_match,substring_name_match,name_token_f1,description_token_f1,soft_success,code_path_f1,api_path_f1,code_path_exact,api_path_exact
usecase_v1_0000,jobic10__student-management-using-django,Django/Python,Student management,4,4,0,4+,4+,no,0.90-1.00,0.9,1.0,1.0,1.0,0.3158,1.0,0.8571,0.4,0.0,0.0
usecase_v1_0001,jobic10__student-management-using-django,Django/Python,Student management,4,4,0,4+,4+,no,0.90-1.00,0.95,1.0,1.0,1.0,0.2857,1.0,0.8571,0.8571,0.0,0.0
usecase_v1_0002,jobic10__student-management-using-django,Django/Python,Student management,4,4,0,4+,4+,no,0.90-1.00,0.95,1.0,1.0,1.0,0.25,1.0,0.6667,0.8571,0.0,0.0
usecase_v1_0003,jobic10__student-management-using-django,Django/Python,Student management,4,4,0,4+,4+,no,non-numeric,0.0,1.0,1.0,1.0,0.2727,1.0,0.6667,0.8571,0.0,0.0
usecase_v1_0004,jobic10__student-management-using-django,Django/Python,Student management,4,4,0,4+,4+,no,non-numeric,0.0,0.0,0.0,0.8,0.1667,1.0,1.0,1.0,1.0,1.0
usecase_v1_0005,jobic10__student-management-using-django,Django/Python,Student management,4,3,0,4+,2-3,no,non-numeric,0.0,0.0,0.0,0.8,0.75,1.0,0.8571,1.0,0.0,1.0
usecase_v1_0006,jobic10__student-management-using-django,Django/Python,Student management,4,3,0,4+,2-3,no,non-numeric,0.0,0.0,0.0,0.8,0.5833,1.0,0.8571,1.0,0.0,1.0
usecase_v1_0007,jobic10__student-management-using-django,Django/Python,Student management,4,3,0,4+,2-3,no,non-numeric,0.0,0.0,0.0,0.25,0.1053,0.0,0.8571,1.0,0.0,1.0
usecase_v1_0008,jobic10__student-management-using-django,Django/Python,Student management,4,1,0,4+,1,no,non-numeric,0.0,1.0,1.0,1.0,0.3636,1.0,0.6667,1.0,0.0,1.0
usecase_v1_0009,jobic10__student-management-using-django,Django/Python,Student management,4,1,0,4+,1,no,non-numeric,0.0,1.0,1.0,1.0,0.6087,1.0,0.8571,1.0,0.0,1.0
usecase_v1_0010,jobic10__student-management-using-django,Django/Python,Student management,4,1,0,4+,1,no,non-numeric,0.0,0.0,1.0,0.5,0.2353,0.0,0.8571,1.0,0.0,1.0
usecase_v1_0011,jobic10__student-management-using-django,Django/Python,Student management,3,2,0,2-3,2-3,no,non-numeric,0.0,0.0,0.0,0.2857,0.2609,0.0,0.8,0.6667,0.0,0.0
usecase_v1_0012,jobic10__student-management-using-django,Django/Python,Student management,3,2,0,2-3,2-3,no,non-numeric,0.0,0.0,0.0,0.2857,0.4,0.0,0.8,1.0,0.0,1.0
usecase_v1_0013,thakurpdhiraj__library_management_system,Microservices/Java,Library management,5,3,3,4+,2-3,yes,non-numeric,0.0,0.0,0.0,0.5714,0.3243,0.0,0.6667,0.5,0.0,0.0
usecase_v1_0014,thakurpdhiraj__library_management_system,Microservices/Java,Library management,5,4,2,4+,4+,yes,0.90-1.00,0.9,0.0,0.0,0.3333,0.2,0.0,0.6667,0.6667,0.0,0.0
usecase_v1_0015,thakurpdhiraj__library_management_system,Microservices/Java,Library management,4,3,2,4+,2-3,yes,0.90-1.00,0.95,0.0,1.0,0.6667,0.4286,0.0,0.8571,0.8,0.0,0.0
usecase_v1_0016,thakurpdhiraj__library_management_system,Microservices/Java,Library management,4,8,2,4+,4+,yes,0.90-1.00,0.95,1.0,1.0,1.0,0.3333,1.0,0.6667,0.6667,0.0,0.0
usecase_v1_0017,thakurpdhiraj__library_management_system,Microservices/Java,Library management,6,5,3,4+,4+,yes,0.90-1.00,0.9,0.0,0.0,0.5714,0.2353,0.0,0.8571,0.3333,0.0,0.0
usecase_v1_0018,thakurpdhiraj__library_management_system,Microservices/Java,Library management,3,2,2,2-3,2-3,yes,0.90-1.00,0.95,0.0,0.0,0.6667,0.2424,0.0,0.8,0.4,0.0,0.0
usecase_v1_0019,thakurpdhiraj__library_management_system,Microservices/Java,Library management,4,2,2,4+,2-3,yes,0.90-1.00,0.95,1.0,1.0,1.0,0.2105,1.0,0.6667,0.6667,0.0,0.0
usecase_v1_0020,thakurpdhiraj__library_management_system,Microservices/Java,Library management,4,4,2,4+,4+,yes,0.90-1.00,0.9,0.0,0.0,0.6667,0.381,0.0,0.4,0.6667,0.0,0.0
usecase_v1_0021,thakurpdhiraj__library_management_system,Microservices/Java,Library management,3,6,2,2-3,4+,yes,non-numeric,0.0,0.0,1.0,0.6667,0.6923,0.0,1.0,0.5455,1.0,0.0
usecase_v1_0022,thakurpdhiraj__library_management_system,Microservices/Java,Library management,4,2,2,4+,2-3,yes,non-numeric,0.0,1.0,1.0,1.0,0.48,1.0,0.8571,0.6667,0.0,0.0
usecase_v1_0023,thakurpdhiraj__library_management_system,Microservices/Java,Library management,5,3,2,4+,2-3,yes,non-numeric,0.0,0.0,1.0,0.7273,0.303,1.0,1.0,0.5,1.0,0.0
usecase_v1_0024,thakurpdhiraj__library_management_system,Microservices/Java,Library management,5,3,3,4+,2-3,yes,non-numeric,0.0,0.0,0.0,0.0,0.25,0.0,0.6667,0.5,0.0,0.0
usecase_v1_0025,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,3,4,3,2-3,4+,yes,0.90-1.00,0.95,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0
usecase_v1_0026,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,5,6,4,4+,4+,yes,0.90-1.00,0.9,0.0,0.0,0.4,0.25,0.0,0.6667,0.0,0.0,0.0
usecase_v1_0027,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,6,3,5,4+,2-3,yes,0.90-1.00,0.9,0.0,0.0,0.0,0.1905,0.0,0.6667,0.5,0.0,0.0
usecase_v1_0028,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,3,3,2,2-3,2-3,yes,0.90-1.00,0.9,1.0,1.0,1.0,0.6957,1.0,0.8,0.5,0.0,0.0
usecase_v1_0029,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,3,2,2,2-3,2-3,yes,0.90-1.00,0.9,1.0,1.0,1.0,0.3529,1.0,0.8,1.0,0.0,1.0
usecase_v1_0030,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,3,3,3,2-3,2-3,yes,0.90-1.00,0.9,0.0,0.0,0.2857,0.4286,0.0,0.8,1.0,0.0,1.0
usecase_v1_0031,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,3,1,2,2-3,1,yes,0.90-1.00,0.9,0.0,1.0,0.8,0.25,1.0,0.8,1.0,0.0,1.0
usecase_v1_0032,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,3,3,4,2-3,2-3,yes,0.90-1.00,0.9,0.0,0.0,0.0,0.2222,0.0,1.0,1.0,1.0,1.0
usecase_v1_0033,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,4,6,2,4+,4+,yes,0.90-1.00,0.9,0.0,0.0,0.4444,0.3077,0.0,1.0,1.0,1.0,1.0
usecase_v1_0034,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,3,4,3,2-3,4+,yes,0.90-1.00,0.9,1.0,1.0,1.0,0.3333,1.0,0.8,0.6667,0.0,0.0
usecase_v1_0035,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,5,5,6,4+,4+,yes,0.90-1.00,0.9,0.0,0.0,0.6667,0.4545,0.0,0.4,0.0,0.0,0.0
usecase_v1_0036,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,3,5,3,2-3,4+,yes,0.90-1.00,0.95,0.0,0.0,0.8,0.1905,1.0,1.0,1.0,1.0,1.0
usecase_v1_0037,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,3,4,3,2-3,4+,yes,0.90-1.00,0.9,0.0,0.0,0.2857,0.4,0.0,0.8,0.8571,0.0,0.0
usecase_v1_0038,abdulwahid880__School-Management-system-in-laravel-,Laravel/PHP,School management,6,2,2,4+,2-3,yes,0.90-1.00,0.9,0.0,0.0,0.2222,0.2105,0.0,0.6667,1.0,0.0,1.0
usecase_v1_0039,4jean__lav_sms,Laravel/PHP,School management,4,6,0,4+,4+,no,0.90-1.00,0.95,0.0,0.0,0.4,0.4167,0.0,1.0,1.0,1.0,1.0
usecase_v1_0040,4jean__lav_sms,Laravel/PHP,School management,3,3,0,2-3,2-3,no,0.90-1.00,0.95,1.0,1.0,1.0,0.4848,1.0,1.0,1.0,1.0,1.0
usecase_v1_0041,4jean__lav_sms,Laravel/PHP,School management,3,5,0,2-3,4+,no,0.90-1.00,0.9,0.0,1.0,0.5,0.5185,0.0,1.0,0.4444,1.0,0.0
usecase_v1_0042,4jean__lav_sms,Laravel/PHP,School management,3,5,0,2-3,4+,no,0.90-1.00,0.9,1.0,1.0,1.0,0.6957,1.0,1.0,1.0,1.0,1.0
