task_id,repository_folder,soft_name_match,soft_name_token_f1,pred_use_case_name,gold_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,0,0.5,Add Staff,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,0,0.5,Add Student,Manage students
usecase_v1_0002,jobic10__student-management-using-django,0,0.0,Add Course,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,0,0.5,Add Subject,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,0,0.4,Add Session,Manage academic sessions
usecase_v1_0005,jobic10__student-management-using-django,1,0.8,Take Attendance,Take student attendance
usecase_v1_0006,jobic10__student-management-using-django,1,0.8,Update Attendance,Update student attendance
usecase_v1_0007,jobic10__student-management-using-django,1,0.5714,Edit Student Result,Add or update student result
usecase_v1_0008,jobic10__student-management-using-django,1,1.0,Apply for Leave,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,1,0.8,View Student Attendance,View attendance
usecase_v1_0010,jobic10__student-management-using-django,1,0.8,View Student Result,View result
usecase_v1_0011,jobic10__student-management-using-django,0,0.3333,View Student Leave,Review leave applications
usecase_v1_0012,jobic10__student-management-using-django,0,0.4,View Student Feedback,Reply to feedback
usecase_v1_0013,thakurpdhiraj__library_management_system,1,0.6667,Create Book,Add book and create inventory
usecase_v1_0014,thakurpdhiraj__library_management_system,0,0.3333,View Book Detail,Search and update books
usecase_v1_0015,thakurpdhiraj__library_management_system,1,0.8,Delete Book,Delete book or inventory
usecase_v1_0016,thakurpdhiraj__library_management_system,0,0.2857,Create/Add/Register/Save User,Manage users
usecase_v1_0017,thakurpdhiraj__library_management_system,0,0.25,Open Book Create or Edit Form,Order available book
usecase_v1_0018,thakurpdhiraj__library_management_system,1,0.8,View My Orders,View current orders
usecase_v1_0019,thakurpdhiraj__library_management_system,1,0.8571,View User Order History,View order history
usecase_v1_0020,thakurpdhiraj__library_management_system,1,0.6667,View overdue orders,Filter overdue orders
usecase_v1_0021,thakurpdhiraj__library_management_system,0,0.5,View Orders,Search orders
usecase_v1_0022,thakurpdhiraj__library_management_system,1,0.8571,Mark Order as Collected or Returned,Mark order as collected
usecase_v1_0023,thakurpdhiraj__library_management_system,1,0.5714,Return Order,Mark order as returned and generate invoice
usecase_v1_0024,thakurpdhiraj__library_management_system,0,0.3333,Login,Authenticate and access role-based views
usecase_v1_0025,abdulwahid880__School-Management-system-in-laravel-,0,0.5,Create School,Manage schools
usecase_v1_0026,abdulwahid880__School-Management-system-in-laravel-,0,0.4,Register Student,Register school users
usecase_v1_0027,abdulwahid880__School-Management-system-in-laravel-,0,0.4,Add Class,Manage classes and sections
usecase_v1_0028,abdulwahid880__School-Management-system-in-laravel-,1,1.0,Take Attendance,Take attendance
usecase_v1_0029,abdulwahid880__School-Management-system-in-laravel-,0,0.4,Adjust Missing Attendances,Adjust attendance
usecase_v1_0030,abdulwahid880__School-Management-system-in-laravel-,0,0.0,View Teacher Grade,Calculate and save grades
usecase_v1_0031,abdulwahid880__School-Management-system-in-laravel-,0,0.3333,View Student Grade Detail,View grades
usecase_v1_0032,abdulwahid880__School-Management-system-in-laravel-,0,0.4,Create/Save Fees,Manage fees
usecase_v1_0033,abdulwahid880__School-Management-system-in-laravel-,0,0.0,View Account Sector Details,Manage income and expenses
usecase_v1_0034,abdulwahid880__School-Management-system-in-laravel-,0,0.4,Create/Add Exam,Manage exams
usecase_v1_0035,abdulwahid880__School-Management-system-in-laravel-,0,0.3333,View Academic Settings,Manage academic content
usecase_v1_0036,abdulwahid880__School-Management-system-in-laravel-,0,0.3333,View book detail,Manage library books
usecase_v1_0037,abdulwahid880__School-Management-system-in-laravel-,1,0.8,Issue Books,Issue and return books
usecase_v1_0038,abdulwahid880__School-Management-system-in-laravel-,1,0.5714,Import Users from Excel,Import and export users
usecase_v1_0039,4jean__lav_sms,1,0.6667,Create Student Record,Manage student records
usecase_v1_0040,4jean__lav_sms,1,1.0,Promote Students,Promote students
usecase_v1_0041,4jean__lav_sms,0,0.4,Manage Time Tables,Manage timetable
usecase_v1_0042,4jean__lav_sms,1,1.0,Manage Payments,Manage payments
usecase_v1_0043,4jean__lav_sms,0,0.4,View Mark Tabulation,Manage marks
usecase_v1_0044,4jean__lav_sms,1,0.5714,View Student Mark Tabulation,View and print marksheet
usecase_v1_0045,4jean__lav_sms,0,0.3333,View Mark Tabulation,Generate tabulation sheet
usecase_v1_0046,4jean__lav_sms,0,0.3333,Create/Manage Class,Manage academic structure
usecase_v1_0047,4jean__lav_sms,1,1.0,View Children,View children
usecase_v1_0048,4jean__lav_sms,0,0.3333,Edit/Update Profile,Update own account
usecase_v1_0049,4jean__lav_sms,0,0.4,Enter Pin,Generate and verify pins
usecase_v1_0050,openfun__marsha,1,0.8,Create Video,Create video resource
usecase_v1_0051,openfun__marsha,1,1.0,Initiate Video Upload,Initiate video upload
usecase_v1_0052,openfun__marsha,1,0.6667,Upload Video End,Complete video upload
usecase_v1_0053,openfun__marsha,1,0.5714,View video detail,View video in LMS
usecase_v1_0054,openfun__marsha,0,0.25,Initiate Timed Text Track Upload,Upload subtitles or transcripts
usecase_v1_0055,openfun__marsha,1,0.6667,Create Video Thumbnail,Upload video thumbnail
usecase_v1_0056,openfun__marsha,0,0.4,Upload Document,Create document resource
usecase_v1_0057,openfun__marsha,1,0.5714,Initiate and End Document Upload,Upload document file
usecase_v1_0058,openfun__marsha,0,0.5,Claim Playlist,Manage playlist
usecase_v1_0059,openfun__marsha,1,0.6667,Manage Playlist Accesses,Manage playlist access
usecase_v1_0060,openfun__marsha,1,0.6667,Start Live Video,Start live session
usecase_v1_0061,openfun__marsha,1,0.5714,Stop Live Video,Stop and harvest live session
usecase_v1_0062,openfun__marsha,0,0.2857,Create/Save Video,Send video analytics statement
usecase_v1_0063,openfun__marsha,1,0.8,Create Classroom Recording,Create classroom
usecase_v1_0064,openfun__marsha,1,1.0,Upload Classroom Document,Upload classroom document
usecase_v1_0065,mwinamijr__django-scms,1,1.0,Login and View Profile,Authenticate and view profile
usecase_v1_0066,mwinamijr__django-scms,0,0.3333,Bulk Upload Teachers,Manage teacher accounts
usecase_v1_0067,mwinamijr__django-scms,0,0.4,Create Accountant,Manage accountant accounts
usecase_v1_0068,mwinamijr__django-scms,0,0.2857,Create/Add/Save Parent,Manage parent accounts
usecase_v1_0069,mwinamijr__django-scms,0,0.3333,Create/Add Student,Manage student records
usecase_v1_0070,mwinamijr__django-scms,1,1.0,Bulk Upload Students,Bulk upload students
