task_id,repository_folder,model,run_name,prompt_version,exact_name_match,substring_name_match,name_token_f1,description_token_f1,parse_error,runtime_error,pred_use_case_name,gold_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.3158,,,Manage staff,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1905,,,Delete student,Manage students
usecase_v1_0002,jobic10__student-management-using-django,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0833,,,Delete course,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1,,,Delete subject,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.2609,,,Manage Sessions,Manage academic sessions
usecase_v1_0005,jobic10__student-management-using-django,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.75,,,Take Attendance,Take student attendance
usecase_v1_0006,jobic10__student-management-using-django,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.48,,,Update Attendance,Update student attendance
usecase_v1_0007,jobic10__student-management-using-django,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4444,0.4444,,,Edit Student's Result,Add or update student result
usecase_v1_0008,jobic10__student-management-using-django,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.4545,,,Apply for Leave,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.6087,,,View attendance,View attendance
usecase_v1_0010,jobic10__student-management-using-django,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.2353,,,View Student Result,View result
usecase_v1_0011,jobic10__student-management-using-django,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2857,0.24,,,View staff leave detail,Review leave applications
usecase_v1_0012,jobic10__student-management-using-django,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2857,0.381,,,View staff feedback detail,Reply to feedback
usecase_v1_0013,thakurpdhiraj__library_management_system,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5714,0.303,,,Create Book,Add book and create inventory
usecase_v1_0014,thakurpdhiraj__library_management_system,qwen2.5-coder:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.2353,,,Edit Book,Search and update books
