task_id,repository_folder,model,run_name,prompt_version,exact_name_match,substring_name_match,name_token_f1,description_token_f1,parse_error,runtime_error,pred_use_case_name,gold_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.2,,,Manage Students,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.1739,,,Manage Students,Manage students
usecase_v1_0002,jobic10__student-management-using-django,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.24,,,Manage Students,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.1818,,,Manage Students,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.2609,,,Manage Sessions,Manage academic sessions
usecase_v1_0005,jobic10__student-management-using-django,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2857,0.64,,,Manage Attendance and Students,Take student attendance
usecase_v1_0006,jobic10__student-management-using-django,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.5,,,Manage Attendance,Update student attendance
usecase_v1_0007,jobic10__student-management-using-django,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4444,0.24,,,Manage Student Result Uploads,Add or update student result
usecase_v1_0008,jobic10__student-management-using-django,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1481,,,Manage Students,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,1,0.8,0.5217,,,View Attendance Data,View attendance
usecase_v1_0010,jobic10__student-management-using-django,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.3,,,View Student Results,View result
usecase_v1_0011,jobic10__student-management-using-django,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.3333,0.381,,,Manage Student Leave,Review leave applications
usecase_v1_0012,jobic10__student-management-using-django,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2857,0.2,,,View Student Feedback Message,Reply to feedback
usecase_v1_0013,thakurpdhiraj__library_management_system,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.6667,0.5,,,Add Book to Inventory,Add book and create inventory
usecase_v1_0014,thakurpdhiraj__library_management_system,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.3333,0.2353,,,Manage Books,Search and update books
usecase_v1_0015,thakurpdhiraj__library_management_system,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5714,0.1667,,,Delete a Book,Delete book or inventory
usecase_v1_0016,thakurpdhiraj__library_management_system,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.3333,,,Add a New User,Manage users
usecase_v1_0017,thakurpdhiraj__library_management_system,qwen2.5:1.5b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.2941,,,Place Order for a Book,Order available book
