task_id,repository_folder,soft_name_match,soft_name_token_f1,pred_use_case_name,gold_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,0,0.5,Manage Students,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,1,1.0,Manage Students,Manage students
usecase_v1_0002,jobic10__student-management-using-django,0,0.5,Manage Students,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,0,0.5,Manage Students,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,1,0.8,Manage Sessions,Manage academic sessions
usecase_v1_0005,jobic10__student-management-using-django,1,0.6667,Manage Attendance and Students,Take student attendance
usecase_v1_0006,jobic10__student-management-using-django,0,0.4,Manage Attendance,Update student attendance
usecase_v1_0007,jobic10__student-management-using-django,1,0.5,Manage Student Result Uploads,Add or update student result
usecase_v1_0008,jobic10__student-management-using-django,0,0.0,Manage Students,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,1,0.8,View Attendance Data,View attendance
usecase_v1_0010,jobic10__student-management-using-django,1,0.8,View Student Results,View result
usecase_v1_0011,jobic10__student-management-using-django,0,0.3333,Manage Student Leave,Review leave applications
usecase_v1_0012,jobic10__student-management-using-django,0,0.3333,View Student Feedback Message,Reply to feedback
usecase_v1_0013,thakurpdhiraj__library_management_system,1,0.8571,Add Book to Inventory,Add book and create inventory
usecase_v1_0014,thakurpdhiraj__library_management_system,0,0.4,Manage Books,Search and update books
usecase_v1_0015,thakurpdhiraj__library_management_system,1,0.8,Delete a Book,Delete book or inventory
usecase_v1_0016,thakurpdhiraj__library_management_system,0,0.5,Add a New User,Manage users
usecase_v1_0017,thakurpdhiraj__library_management_system,1,0.6667,Place Order for a Book,Order available book
usecase_v1_0018,thakurpdhiraj__library_management_system,0,0.3333,Place and Track Orders,View current orders
usecase_v1_0019,thakurpdhiraj__library_management_system,1,0.5714,Retrieve Order History for User,View order history
usecase_v1_0020,thakurpdhiraj__library_management_system,1,0.6667,Return Overdue Orders,Filter overdue orders
usecase_v1_0021,thakurpdhiraj__library_management_system,0,0.5,Manage Orders,Search orders
usecase_v1_0022,thakurpdhiraj__library_management_system,0,0.4,Manage Orders,Mark order as collected
usecase_v1_0023,thakurpdhiraj__library_management_system,1,0.5714,Return Order,Mark order as returned and generate invoice
usecase_v1_0024,thakurpdhiraj__library_management_system,0,0.2857,Login and Authentication,Authenticate and access role-based views
usecase_v1_0025,abdulwahid880__School-Management-system-in-laravel-,1,1.0,Manage Schools,Manage schools
usecase_v1_0026,abdulwahid880__School-Management-system-in-laravel-,0,0.3333,Manage Student Registration,Register school users
usecase_v1_0027,abdulwahid880__School-Management-system-in-laravel-,0,0.4,Add a New Class,Manage classes and sections
usecase_v1_0028,abdulwahid880__School-Management-system-in-laravel-,0,0.2857,View Attendance of Students in a Section,Take attendance
usecase_v1_0029,abdulwahid880__School-Management-system-in-laravel-,0,0.4,Adjust Missing Attendances,Adjust attendance
usecase_v1_0030,abdulwahid880__School-Management-system-in-laravel-,0,0.3333,Manage Student Grades,Calculate and save grades
usecase_v1_0031,abdulwahid880__School-Management-system-in-laravel-,1,0.8,View Student Grades,View grades
usecase_v1_0032,abdulwahid880__School-Management-system-in-laravel-,1,1.0,Manage Fees,Manage fees
usecase_v1_0033,abdulwahid880__School-Management-system-in-laravel-,0,0.3333,Manage Account Sector,Manage income and expenses
usecase_v1_0034,abdulwahid880__School-Management-system-in-laravel-,1,1.0,Manage Exams,Manage exams
usecase_v1_0035,abdulwahid880__School-Management-system-in-laravel-,0,0.4,Manage Syllabus,Manage academic content
usecase_v1_0036,abdulwahid880__School-Management-system-in-laravel-,1,0.8,Manage Books,Manage library books
usecase_v1_0037,abdulwahid880__School-Management-system-in-laravel-,1,0.6667,Issue Books to Students,Issue and return books
usecase_v1_0038,abdulwahid880__School-Management-system-in-laravel-,1,0.5714,Import Users from Excel,Import and export users
usecase_v1_0039,4jean__lav_sms,1,0.8,Manage Students,Manage student records
usecase_v1_0040,4jean__lav_sms,1,0.8,Manage Student Promotions,Promote students
usecase_v1_0041,4jean__lav_sms,0,0.4,Manage Time Tables,Manage timetable
usecase_v1_0042,4jean__lav_sms,1,1.0,Manage Payments,Manage payments
usecase_v1_0043,4jean__lav_sms,1,0.8,Manage Mark Records,Manage marks
usecase_v1_0044,4jean__lav_sms,1,0.6667,View Mark Tabulation,View and print marksheet
usecase_v1_0045,4jean__lav_sms,0,0.3333,Mark Tabulation and Print,Generate tabulation sheet
usecase_v1_0046,4jean__lav_sms,0,0.4,Manage Students,Manage academic structure
usecase_v1_0047,4jean__lav_sms,0,0.5,Manage Children,View children
usecase_v1_0048,4jean__lav_sms,0,0.0,Change Password,Update own account
usecase_v1_0049,4jean__lav_sms,0,0.0,Manage Students,Generate and verify pins
usecase_v1_0050,openfun__marsha,1,0.8,Create Video,Create video resource
