task_id,repository_folder,model,run_name,prompt_version,exact_name_match,substring_name_match,name_token_f1,description_token_f1,parse_error,runtime_error,pred_use_case_name,gold_use_case_name
usecase_v1_0000,jobic10__student-management-using-django,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.3158,,,Manage Staff,Manage staff
usecase_v1_0001,jobic10__student-management-using-django,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,1,0.5,0.2727,,,Manage Student,Manage students
usecase_v1_0002,jobic10__student-management-using-django,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,1,0.5,0.3478,,,Manage Course,Manage courses
usecase_v1_0003,jobic10__student-management-using-django,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1818,,,Add Subject,Manage subjects
usecase_v1_0004,jobic10__student-management-using-django,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.25,,,Manage Session,Manage academic sessions
usecase_v1_0005,jobic10__student-management-using-django,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.8,0.4103,,,Take Attendance,Take student attendance
usecase_v1_0006,jobic10__student-management-using-django,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.4167,,,Update Student Attendance,Update student attendance
usecase_v1_0007,jobic10__student-management-using-django,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4444,0.4286,,,Edit Student's Result,Add or update student result
usecase_v1_0008,jobic10__student-management-using-django,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.4545,,,Apply for Leave,Apply for leave
usecase_v1_0009,jobic10__student-management-using-django,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.4167,,,View Attendance,View attendance
usecase_v1_0010,jobic10__student-management-using-django,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.4545,,,View Student Results,View result
usecase_v1_0011,jobic10__student-management-using-django,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2857,0.2609,,,View student leave requests,Review leave applications
usecase_v1_0012,jobic10__student-management-using-django,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2857,0.3636,,,View student feedback detail,Reply to feedback
usecase_v1_0013,thakurpdhiraj__library_management_system,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5714,0.4,,,Create book,Add book and create inventory
usecase_v1_0014,thakurpdhiraj__library_management_system,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2857,0.2222,,,Update Book Details,Search and update books
usecase_v1_0015,thakurpdhiraj__library_management_system,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,1,0.6667,0.3333,,,Delete book,Delete book or inventory
usecase_v1_0016,thakurpdhiraj__library_management_system,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.2105,,,Create user,Manage users
usecase_v1_0017,thakurpdhiraj__library_management_system,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.6667,0.2105,,,Place book order,Order available book
usecase_v1_0018,thakurpdhiraj__library_management_system,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.6667,0.2,,,View my orders,View current orders
usecase_v1_0019,thakurpdhiraj__library_management_system,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.0952,,,View order history,View order history
usecase_v1_0020,thakurpdhiraj__library_management_system,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5714,0.4211,,,View overdue collection orders,Filter overdue orders
usecase_v1_0021,thakurpdhiraj__library_management_system,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.3333,,,Mark order as collected,Search orders
usecase_v1_0022,thakurpdhiraj__library_management_system,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.75,0.56,,,Mark book as collected,Mark order as collected
usecase_v1_0023,thakurpdhiraj__library_management_system,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5455,0.4242,,,Mark book as returned,Mark order as returned and generate invoice
usecase_v1_0024,thakurpdhiraj__library_management_system,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.4,,,Login,Authenticate and access role-based views
usecase_v1_0025,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.4,,,Manage School Details,Manage schools
usecase_v1_0026,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.1935,,,Register User,Register school users
usecase_v1_0027,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.1739,,,Add Class to School,Manage classes and sections
usecase_v1_0028,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.6667,,,Take Attendance,Take attendance
usecase_v1_0029,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.087,,,Adjust missing attendances,Adjust attendance
usecase_v1_0030,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.6667,,,Calculate and Save Grades,Calculate and save grades
usecase_v1_0031,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.4,0.4762,,,View grade detail,View grades
usecase_v1_0032,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.5,,,Create fee,Manage fees
usecase_v1_0033,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.3636,0.3077,,,Create and Manage Account Sectors and Accounts,Manage income and expenses
usecase_v1_0034,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.0909,,,Activate Exam,Manage exams
usecase_v1_0035,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.0,0.381,,,Create Notice,Manage academic content
usecase_v1_0036,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.3333,0.3636,,,Manage book details,Manage library books
usecase_v1_0037,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.5,0.4,,,Issue books to students,Issue and return books
usecase_v1_0038,abdulwahid880__School-Management-system-in-laravel-,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2222,0.25,,,Import students from Excel file,Import and export users
usecase_v1_0039,4jean__lav_sms,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,0,0,0.2857,0.4,,,Create/Add Student Record,Manage student records
usecase_v1_0040,4jean__lav_sms,qwen2.5:7b,user_goal_v4_scale_family,user_goal_v4,1,1,1.0,0.3125,,,Promote Students,Promote students
